   DOY	   lat	   lon	   DMSsw	   DMSsw_se	SST	Salinity	Fluorescence	Ship Speed	Ship Heading
   4.4180889e+01	  -4.2172239e+01	   1.7483300e+02	   2.6329736e+00	   3.9031654e-01	   1.6510006e+01	   3.4743593e+01	   3.2600000e-01	   5.7494011e+00	   1.7775803e+02	
   4.4181583e+01	  -4.2175417e+01	   1.7483347e+02	   2.4878033e+00	   2.6482776e-01	   1.6471661e+01	   3.4733481e+01	   3.2600000e-01	   5.2881667e+00	   1.7837768e+02	
   4.4182278e+01	  -4.2178620e+01	   1.7483346e+02	   2.0078965e+00	   1.7769374e-01	   1.6487614e+01	   3.4775135e+01	   3.3355845e-01	   4.6589180e+00	   1.8001224e+02	
   4.4182972e+01	  -4.2181596e+01	   1.7483353e+02	   3.0795184e+00	   2.7344195e-01	   1.6416249e+01	   3.4766870e+01	   3.3255266e-01	   5.1550886e+00	   1.7753713e+02	
   4.4183667e+01	  -4.2184572e+01	   1.7483400e+02	   3.9804723e+00	   3.6428543e-01	   1.6366061e+01	   3.4783349e+01	   3.4067245e-01	   5.1391716e+00	   1.7868668e+02	
   4.4184361e+01	  -4.2187548e+01	   1.7483400e+02	   4.3982647e+00	   3.7275146e-01	   1.6419191e+01	   3.4781810e+01	   3.6070904e-01	   5.0694632e+00	   1.7979043e+02	
   4.4185056e+01	  -4.2190524e+01	   1.7483400e+02	   5.9470929e+00	   5.6484652e-01	   1.6410020e+01	   3.4746000e+01	   3.6700000e-01	   5.2525435e+00	   1.7803860e+02	
   4.4185750e+01	  -4.2193501e+01	   1.7483400e+02	   3.9647330e+00	   3.8079071e-01	   1.6363493e+01	   3.4745500e+01	   3.7400289e-01	   5.4116049e+00	   1.7817534e+02	
   4.4186445e+01	  -4.2196477e+01	   1.7483400e+02	   3.7918617e+00	   3.7198244e-01	   1.6389812e+01	   3.4764691e+01	   3.8100000e-01	   5.5500705e+00	   1.7840928e+02	
   4.4187139e+01	  -4.2199453e+01	   1.7483400e+02	   3.2462326e+00	   2.6058065e-01	   1.6438875e+01	   3.4761268e+01	   3.6792299e-01	   5.7101351e+00	   1.7809060e+02	
   4.4187833e+01	  -4.2202429e+01	   1.7483400e+02	   1.9669392e+00	   2.1059907e-01	   1.6406317e+01	   3.4725996e+01	   3.4733044e-01	   5.8160526e+00	   1.7816180e+02	
   4.4188528e+01	  -4.2205405e+01	   1.7483447e+02	   2.3688733e+00	   2.4634962e-01	   1.6359442e+01	   3.4748729e+01	   3.5920689e-01	   5.4914299e+00	   1.7874323e+02	
   4.4189222e+01	  -4.2208382e+01	   1.7483500e+02	   2.6878317e+00	   2.8543574e-01	   1.6365355e+01	   3.4775487e+01	   3.8698681e-01	   5.4722681e+00	   1.7946974e+02	
   4.4208273e+01	  -4.2289886e+01	   1.7483800e+02	   3.2457326e+00	   3.3479044e-01	   1.6411085e+01	   3.4788886e+01	   3.8100000e-01	   5.5478676e+00	   1.7873665e+02	
   4.4208968e+01	  -4.2292862e+01	   1.7483800e+02	   4.0957225e+00	   3.9973791e-01	   1.6368119e+01	   3.4761336e+01	   3.5524349e-01	   5.3886789e+00	   1.7927467e+02	
