   DOY	   lat	   lon	   DMSsw	   DMSsw_se	SST	Salinity	Fluorescence	Ship Speed	Ship Heading	Chl
   8.2537731e+01	   2.8515401e+01	  -5.6611899e+01	   2.0693246e+00	   2.1838950e-01	   2.3572511e+01	   3.7133003e+01	   7.8610079e+01	   1.1841963e+01	   4.7210079e+01	             NaN	
   8.2552037e+01	   2.8562600e+01	  -5.6558099e+01	   2.0224068e+00	   1.8082895e-01	   2.3597161e+01	   3.7071690e+01	   7.7680153e+01	   1.2200916e+01	   4.7899746e+01	             NaN	
   8.2566366e+01	   2.8607867e+01	  -5.6504133e+01	   1.9657417e+00	   2.0884531e-01	   2.3572244e+01	   3.7088486e+01	   7.8119930e+01	   1.1473986e+01	   4.6759791e+01	             NaN	
   8.2580718e+01	   2.8653801e+01	  -5.6449199e+01	   2.3700569e+00	   2.4171161e-01	   2.3530180e+01	   3.7056660e+01	   7.7860128e+01	   1.1766119e+01	   4.7840511e+01	             NaN	
   8.2595069e+01	   2.8698534e+01	  -5.6391466e+01	   2.2708866e+00	   2.2669871e-01	   2.3542726e+01	   3.7094481e+01	   7.7580057e+01	   1.1673989e+01	   4.6506742e+01	             NaN	
   8.2609421e+01	   2.8744867e+01	  -5.6333200e+01	   1.7462328e+00	   1.7710571e-01	   2.3396883e+01	   3.7120806e+01	   7.7200000e+01	   1.1739359e+01	   4.4219953e+01	             NaN	
   8.2623773e+01	   2.8792800e+01	  -5.6278200e+01	   2.2647795e+00	   2.2701370e-01	   2.2315340e+01	   3.6874863e+01	   8.0319954e+01	   1.1824037e+01	   4.5420107e+01	             NaN	
   8.2638148e+01	   2.8838900e+01	  -5.6224400e+01	   1.7317008e+00	   1.7626836e-01	   2.2517327e+01	   3.6931109e+01	   7.8490041e+01	   1.1640000e+01	   4.4230421e+01	             NaN	
   8.2652500e+01	   2.8883934e+01	  -5.6172066e+01	   1.1633576e+00	   1.2099743e-01	   2.2193959e+01	   3.6864127e+01	   8.0190035e+01	   1.1764353e+01	   4.4050175e+01	             NaN	
   8.2666875e+01	   2.8928334e+01	  -5.6120000e+01	   1.1447324e+00	   1.2347517e-01	   2.2231068e+01	   3.6912468e+01	   7.9199950e+01	   1.1810032e+01	   4.2866650e+01	             NaN	
