   DOY	   lat	   lon	   DMSsw	   DMSsw_se	SST	Salinity	Fluorescence	Ship Speed	Ship Heading
   1.7742280e+02	   4.0282799e+01	  -6.0930379e+01	   4.1119066e-01	   5.5175920e-02	   2.2930622e+01	   3.4562428e+01	   8.3243018e-01	   6.3542723e+00	   8.7387649e+01	
   1.7742350e+02	   4.0283137e+01	  -6.0925856e+01	   3.7229357e-01	   4.5682533e-02	   2.2981138e+01	   3.4545057e+01	   8.3127000e-01	   6.3978960e+00	   8.6751466e+01	
   1.7742420e+02	   4.0283466e+01	  -6.0921420e+01	   2.7336550e-01	   4.5044175e-02	   2.3034234e+01	   3.4564213e+01	   8.2873956e-01	   6.3623387e+00	   8.5484656e+01	
   1.7742489e+02	   4.0283794e+01	  -6.0916994e+01	   3.4146971e-01	   4.7066816e-02	   2.3085144e+01	   3.4583407e+01	   8.2004902e-01	   6.3589220e+00	   8.5487942e+01	
   1.7742559e+02	   4.0284136e+01	  -6.0912562e+01	   3.1824232e-01	   4.4872947e-02	   2.3125225e+01	   3.4598186e+01	   8.2265420e-01	   6.3288289e+00	   8.6815316e+01	
   1.7742627e+02	   4.0284467e+01	  -6.0908205e+01	   3.4581516e-01	   4.9227501e-02	   2.3152431e+01	   3.4622366e+01	   8.2192653e-01	   6.3886952e+00	   8.6755625e+01	
   1.7742697e+02	   4.0284778e+01	  -6.0903752e+01	   3.5141516e-01	   4.8024033e-02	   2.3168197e+01	   3.4659496e+01	   8.2038000e-01	   6.3723571e+00	   8.7044312e+01	
   1.7742766e+02	   4.0285063e+01	  -6.0899244e+01	   3.2820597e-01	   5.2351215e-02	   2.3173769e+01	   3.4685393e+01	   8.2038000e-01	   6.4457052e+00	   8.6551485e+01	
   1.7742835e+02	   4.0285343e+01	  -6.0894742e+01	   3.1598514e-01	   4.7371857e-02	   2.3171402e+01	   3.4685957e+01	   8.2367284e-01	   6.4462324e+00	   8.7356575e+01	
   1.7742905e+02	   4.0285614e+01	  -6.0890297e+01	   3.2346273e-01	   4.4659600e-02	   2.3161394e+01	   3.4674622e+01	   8.2522000e-01	   6.3933542e+00	   8.6607160e+01	
